[24-Nov-2014 21:42:30 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 115605504 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 21:42:52 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 115867648 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 21:43:01 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 115867648 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 21:43:33 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 115867648 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 21:43:39 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 115867648 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 21:44:27 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 115343360 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 21:47:17 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 115867648 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 21:49:31 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 115605504 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 21:49:39 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 115343360 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 21:57:23 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 115605504 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
